,video_no,sentence_no,split_video_no,text,start_time,end_time,offensive,offensiveness level,sentiment,video_path,audio_path
41,video_8.mp4,4,video_8_4.mp4,6 ghante ho gaye lekin baccha bahar nahi aa raha,9.989,11.078,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_4.mp4,./final_data/audio_conv/video_8_4.npy
42,video_8.mp4,5,video_8_5.mp4,madharchod 6 ghante se kya kar rahe the,11.458,12.902,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_5.mp4,./final_data/audio_conv/video_8_5.npy
43,video_8.mp4,6,video_8_6.mp4,hum aa to rahe the lekin dhakka deke gira diya uss haramzaade ne,12.979,15.151,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_6.mp4,./final_data/audio_conv/video_8_6.npy
44,video_9.mp4,1,video_9_1.mp4,usey uski aukat batayenge,0.039,1.902,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_1.mp4,./final_data/audio_conv/video_9_1.npy
45,video_9.mp4,2,video_9_2.mp4,dheere dheere uska sabkuch cheen lenge,3.304,5.151,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_2.mp4,./final_data/audio_conv/video_9_2.npy
46,video_9.mp4,3,video_9_3.mp4,apne aape mar jaayega madharchod,5.132,6.902,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_3.mp4,./final_data/audio_conv/video_9_3.npy
47,video_9.mp4,4,video_9_4.mp4,chutiya samajhte ho humko,10.331,11.902,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_4.mp4,./final_data/audio_conv/video_9_4.npy
48,video_9.mp4,5,video_9_5.mp4,kabhi na kabhi to ghar aayega tu,11.973,13.651,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_5.mp4,./final_data/audio_conv/video_9_5.npy
49,video_9.mp4,6,video_9_6.mp4,haramkhor bhadwa saala randibaaz,14.085,17.053,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_9_6.mp4,./final_data/audio_conv/video_9_6.npy
50,video_10.mp4,1,video_10_1.mp4,ee ka karat ho sarkar,0.485,1.652,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_1.mp4,./final_data/audio_conv/video_10_1.npy
51,video_10.mp4,2,video_10_2.mp4,chal bhag bhosdike,1.936,2.649,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_2.mp4,./final_data/audio_conv/video_10_2.npy
52,video_10.mp4,3,video_10_3.mp4,JP,3.205,3.655,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_10_3.mp4,./final_data/audio_conv/video_10_3.npy
53,video_10.mp4,4,video_10_4.mp4,arrey bauji hum keh rahe hai uski maiya chhod denge,3.781,4.923,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_4.mp4,./final_data/audio_conv/video_10_4.npy
54,video_10.mp4,5,video_10_5.mp4,JP,5.314,5.401,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_5.mp4,./final_data/audio_conv/video_10_5.npy
55,video_10.mp4,6,video_10_6.mp4,uske muh me taar daalke gaand se nikal ke isi plot pe patang naa udaayi to hamara naam nhi,6.756,10.435,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_6.mp4,./final_data/audio_conv/video_10_6.npy
56,video_10.mp4,7,video_10_7.mp4,zameen hamare logon ka hai,11.071,12.402,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_10_7.mp4,./final_data/audio_conv/video_10_7.npy
57,video_10.mp4,8,video_10_8.mp4,deal kar chuke hai hum,13.559,14.153,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_10_8.mp4,./final_data/audio_conv/video_10_8.npy
58,video_10.mp4,9,video_10_9.mp4,aur ee jo avaidh kabje ka jo tum chutiyappa kar rahe ho na,16.095,17.901,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_9.mp4,./final_data/audio_conv/video_10_9.npy
59,video_10.mp4,10,video_10_10.mp4,thik nahi hoga tumhare liye,19.059,19.659,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_10_10.mp4,./final_data/audio_conv/video_10_10.npy
60,video_11.mp4,1,video_11_1.mp4,saale tumko pata hai,0.121,0.901,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_11_1.mp4,./final_data/audio_conv/video_11_1.npy
61,video_11.mp4,2,video_11_2.mp4,humre saamne aukat kya hai tumhari bhosdike,1.407,2.901,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_11_2.mp4,./final_data/audio_conv/video_11_2.npy
62,video_11.mp4,3,video_11_3.mp4,aye SP saheb apne kursi pe baithe rahenge to sabke liye aacha rahega,10.416,13.356,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_11_3.mp4,./final_data/audio_conv/video_11_3.npy
63,video_12.mp4,1,video_12_1.mp4,jab apne pitaji ka gaand khuja rahe hone na,0.001,1.901,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_1.mp4,./final_data/audio_conv/video_12_1.npy
64,video_12.mp4,2,video_12_2.mp4,puchna inse hum kaun hai,2.615,3.901,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_2.mp4,./final_data/audio_conv/video_12_2.npy
65,video_12.mp4,4,video_12_3.mp4,badka chutiya sala,6.669,8.152,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_3.mp4,./final_data/audio_conv/video_12_3.npy
66,video_12.mp4,5,video_12_4.mp4,bhag bhosdike,8.666,9.652,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_4.mp4,./final_data/audio_conv/video_12_4.npy
67,video_12.mp4,6,video_12_5.mp4,bina jaankari ke kisi ko bhi naukri pe rakhega,10.651,12.038,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_5.mp4,./final_data/audio_conv/video_12_5.npy
68,video_12.mp4,7,video_12_6.mp4,vidhayak banenge chutiya sala,13.459,14.901,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_12_6.mp4,./final_data/audio_conv/video_12_6.npy
69,video_13.mp4,1,video_13_1.mp4,ji thik hai,0.012,0.901,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_1.mp4,./final_data/audio_conv/video_13_1.npy
70,video_13.mp4,2,video_13_2.mp4,bhosdike ,2.452,3.416,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_2.mp4,./final_data/audio_conv/video_13_2.npy
71,video_13.mp4,3,video_13_3.mp4,ab to sach bol de bhosdike,4.704,6.402,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_3.mp4,./final_data/audio_conv/video_13_3.npy
72,video_13.mp4,4,video_13_4.mp4,nahi to tumko maar ke gaad denge wahi pe hum,8.902,10.624,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_4.mp4,./final_data/audio_conv/video_13_4.npy
73,video_13.mp4,5,video_13_5.mp4,tumlog jaao sojao,12.401,13.402,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_5.mp4,./final_data/audio_conv/video_13_5.npy
74,video_13.mp4,6,video_13_6.mp4,hum dekhte hai ee bhadwa log ko,13.651,14.901,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_13_6.mp4,./final_data/audio_conv/video_13_6.npy
75,video_14.mp4,1,video_14_1.mp4,kya be bhosdike,0.151,1.151,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_1.mp4,./final_data/audio_conv/video_14_1.npy
76,video_14.mp4,2,video_14_2.mp4,bhosdike,2.546,3.403,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_2.mp4,./final_data/audio_conv/video_14_2.npy
77,video_14.mp4,3,video_14_3.mp4,madharchod  ,4.897,5.401,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_3.mp4,./final_data/audio_conv/video_14_3.npy
78,video_14.mp4,4,video_14_4.mp4,bhosdike,8.079,9.401,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_4.mp4,./final_data/audio_conv/video_14_4.npy
79,video_14.mp4,5,video_14_5.mp4,ee ka bawasir bana diye ho,14.512,15.652,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_5.mp4,./final_data/audio_conv/video_14_5.npy
80,video_14.mp4,6,video_14_6.mp4,sala haaath jhanjhana jaata hai,16.433,17.752,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_6.mp4,./final_data/audio_conv/video_14_6.npy
81,video_14.mp4,7,video_14_7.mp4,maarte hai kasai mohalla jata hai kalkatta,17.761,19.501,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_14_7.mp4,./final_data/audio_conv/video_14_7.npy
82,video_15.mp4,1,video_15_1.mp4,Ramadhir Singh ke pure khandan se,0.001,3.155,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_1.mp4,./final_data/audio_conv/video_15_1.npy
83,video_15.mp4,2,video_15_2.mp4,randi ka naach nachaenge,3.652,6.405,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_2.mp4,./final_data/audio_conv/video_15_2.npy
84,video_15.mp4,3,video_15_3.mp4,hazraat hazraat hazraat,7.405,9.651,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_15_3.mp4,./final_data/audio_conv/video_15_3.npy
85,video_15.mp4,4,video_15_4.mp4,saalam valikum....... bajao re,10.159,10.909,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_15_4.mp4,./final_data/audio_conv/video_15_4.npy
86,video_15.mp4,5,video_15_5.mp4,arrey saram nahi aata hai aapko,11.405,12.904,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_5.mp4,./final_data/audio_conv/video_15_5.npy
87,video_15.mp4,6,video_15_6.mp4,sarif kureshi ki aulaad hai sultana daaaku ke,13.118,15.662,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_6.mp4,./final_data/audio_conv/video_15_6.npy
88,video_15.mp4,7,video_15_7.mp4,angrezon ka gaand fat ta tha unse,15.963,17.655,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_7.mp4,./final_data/audio_conv/video_15_7.npy
89,video_15.mp4,8,video_15_8.mp4,tamiz sikha rahe hai,18.843,19.034,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_8.mp4,./final_data/audio_conv/video_15_8.npy
90,video_15.mp4,9,video_15_9.mp4,kaha hai re,19.502,20.064,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_15_9.mp4,./final_data/audio_conv/video_15_9.npy
91,video_16.mp4,1,video_16_1.mp4,utha madharchodo ko,1.946,3.153,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_16_1.mp4,./final_data/audio_conv/video_16_1.npy
92,video_16.mp4,2,video_16_2.mp4,Ramadhir Singh hamara jhaant nahi ukhaad paaya,3.157,7.907,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_16_2.mp4,./final_data/audio_conv/video_16_2.npy
93,video_16.mp4,3,video_16_3.mp4,magar iski ammi chahe na,8.594,9.623,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_16_3.mp4,./final_data/audio_conv/video_16_3.npy
94,video_16.mp4,4,video_16_4.mp4,bandook kaha hai.....chutiya,14.909,16.905,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_16_4.mp4,./final_data/audio_conv/video_16_4.npy
95,video_17.mp4,1,video_17_1.mp4,chabhi kaha hai,0.201,2.152,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_17_1.mp4,./final_data/audio_conv/video_17_1.npy
96,video_17.mp4,2,video_17_2.mp4,gaand me daal liye ho kya chabhi sala sab,2.516,4,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_17_2.mp4,./final_data/audio_conv/video_17_2.npy
97,video_17.mp4,3,video_17_3.mp4,aey apne aap nhi letega...apne aap let raha hai...mar jaayega to...leta,4.932,7.521,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_17_3.mp4,./final_data/audio_conv/video_17_3.npy
98,video_17.mp4,4,video_17_4.mp4,kya hai yeh,9.669,9.904,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]",./final_data/videos/video_17_4.mp4,./final_data/audio_conv/video_17_4.npy
99,video_17.mp4,5,video_17_5.mp4,asgar usey pakad,10.524,11.403,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_17_5.mp4,./final_data/audio_conv/video_17_5.npy
100,video_17.mp4,6,video_17_6.mp4,aey kamiz khol kamiz khol....kamiz khol iska....chal,11.681,15.157,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_17_6.mp4,./final_data/audio_conv/video_17_6.npy
101,video_18.mp4,1,video_18_1.mp4,areey lagta hai bijli gayi,0.069,0.904,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_18_1.mp4,./final_data/audio_conv/video_18_1.npy
102,video_18.mp4,2,video_18_2.mp4,to kya hua operation kar,2.229,3.152,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_18_2.mp4,./final_data/audio_conv/video_18_2.npy
103,video_18.mp4,3,video_18_3.mp4,ab andhere me kuch nahi ho sakta ,3.336,4.403,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_18_3.mp4,./final_data/audio_conv/video_18_3.npy
104,video_18.mp4,4,video_18_4.mp4,kuch nhi ho sakta...gaand ke andhe,5.319,7.151,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_18_4.mp4,./final_data/audio_conv/video_18_4.npy
105,video_18.mp4,5,video_18_5.mp4,bijli chali gayi to kya hua operation kar,7.232,8.904,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_18_5.mp4,./final_data/audio_conv/video_18_5.npy
